id	chr	start	end	tss
ABCD4	14	74285269	74303055	74303055
ABCE1	4	145098288	145129524	145098288
ABCF1	6	30571393	30597179	30571393
ABCF2	7	151211484	151227205	151227205
ABCF2-H2BE1	7	151207837	151227166	151227166
ABCF3	3	184186023	184194012	184186023
ABCG1	21	42199689	42297244	42199689
ABCG2	4	88090150	88231628	88231628
ABCG4	11	119149052	119162653	119149052
ABCG5	2	43812472	43838865	43838839
ABCG8	2	43831942	43882988	43831942
ABHD1	2	27123789	27130812	27123789
ABHD10	3	111979010	111993368	111979010
ABHD11	7	73736094	73738867	73738867
ABHD12	20	25294742	25390835	25390835
ABHD12B	14	50872053	50904970	50872053
ABHD13	13	108218392	108234243	108218392
ABHD14A	3	51971426	51981199	51971426
ABHD14A-ACY1	3	51974706	51989183	51974706
ABHD14B	3	51968510	51983409	51983409
ABHD15	17	29560547	29567037	29567037
ABHD16A	6	31686955	31703356	31703356
ABHD16B	20	63861498	63862988	63861498
ABHD17A	19	1876810	1885496	1885496
ABHD17B	9	71862452	71911193	71911193
ABHD17C	15	80679684	80755621	80679684
ABHD18	4	127965306	128039927	127965306
ABHD2	15	89087459	89202355	89087459
ABHD3	18	21650901	21704780	21704774
ABHD4	14	22598237	22613215	22598237
ABHD5	3	43690108	43734371	43690108
ABHD6	3	58237532	58295693	58237532
ABHD8	19	17292131	17310236	17310236
ABI1	10	26746593	26861087	26861087
ABI2	2	203328280	203447728	203328280
ABI3	17	49210411	49223225	49210411
ABI3BP	3	100749156	100993515	100993515
ABITRAM	9	108934400	108950744	108934400
ABL1	9	130713016	130887675	130713016
ABL2	1	179099330	179229684	179229684
ABLIM1	10	114431113	114768061	114768061
ABLIM2	4	7965310	8158832	8158832
ABLIM3	5	149141483	149260542	149141483
ABO	9	133250401	133276024	133276024
ABR	17	1003518	1229738	1229738
ABRA	8	106759483	106770244	106770244
ABRACL	6	139028745	139043302	139028745
ABRAXAS1	4	83459517	83523348	83523348
ABRAXAS2	10	124801819	124836667	124801819
ABT1	6	26596953	26600739	26596953
ABTB1	3	127672935	127680926	127672935
ABTB2	11	34150987	34358010	34358010
ACAA1	3	38103129	38137242	38137242
ACAA2	18	49782164	49813953	49813953
ACACA	17	37084992	37406836	37406836
ACACB	12	109116595	109268226	109116595
ACAD10	12	111686053	111757107	111686053
ACAD11	3	132558138	132660082	132660066
ACAD8	11	134253548	134265855	134253548
ACAD9	3	128879596	128916067	128879596
ACADL	2	210187126	210225447	210225447
ACADM	1	75724347	75787575	75724347
ACADS	12	120725774	120740008	120725826
ACADSB	10	123008979	123058290	123008979
ACADVL	17	7217125	7225266	7217125
ACAN	15	88803436	88875354	88803436
ACAP1	17	7336529	7351477	7336529
ACAP2	3	195274745	195443044	195443020
ACAP3	1	1292390	1309609	1307930
ACAT1	11	108116695	108147603	108116695
ACAT2	6	159762045	159779112	159762045
ACBD3	1	226144679	226186741	226186741
ACBD4	17	45132600	45144181	45132600
ACBD5	10	27195214	27242130	27242130
ACBD6	1	180269653	180502954	180502954
ACBD7	10	15075475	15088776	15088776
ACCS	11	44065925	44084237	44065925
ACCSL	11	44047981	44059977	44047981
ACD	16	67657512	67660815	67660815
ACE	17	63477061	63498380	63477061
ACE2	X	15561033	15602148	15602148
ACER1	19	6306142	6333612	6333612
ACER2	9	19409009	19452505	19409009
ACER3	11	76860867	77026797	76860867
ACHE	7	100889994	100896974	100896974
ACIN1	14	23058564	23095614	23095614
ACKR1	1	159203307	159206500	159203307
ACKR2	3	42804752	42887974	42804752
ACKR3	2	236567787	236582354	236567787
ACKR4	3	132597270	132618967	132597270
ACLY	17	41866917	41930542	41930542
ACMSD	2	134838616	134902034	134838616
ACO1	9	32384603	32454769	32384603
ACO2	22	41469117	41528989	41469117
ACOD1	13	76948511	76958638	76948511
ACOT1	14	73537143	73543796	73537143
ACOT11	1	54542257	54639192	54542257
ACOT12	5	81329996	81394179	81394179
ACOT13	6	24667035	24705065	24667035
ACOT2	14	73567620	73575658	73567620
ACOT4	14	73591706	73596496	73591706
ACOT6	14	73610945	73619888	73610945
ACOT7	1	6264269	6394391	6394391
ACOT8	20	45841721	45857405	45857405
ACOT9	X	23701055	23766475	23766475
ACOX1	17	75941507	75979177	75979177
ACOX2	3	58505136	58537283	58537283
ACOX3	4	8366282	8440723	8440723
ACOXL	2	110732573	111118548	110732573
ACP1	2	264140	278283	264140
ACP2	11	47239302	47248906	47248906
ACP3	3	132317369	132368298	132317369
ACP4	19	50790415	50795219	50790415
ACP5	19	11574660	11579008	11579008
ACP6	1	147629652	147670524	147670524
ACP7	19	39083913	39111493	39083913
ACR	22	50738196	50745339	50738204
ACRBP	12	6638075	6647433	6647433
ACRV1	11	125671522	125680874	125680874
ACSBG1	15	78167468	78245688	78245688
ACSBG2	19	6135247	6193094	6135247
ACSF2	17	50426158	50474845	50426158
ACSF3	16	89088375	89164121	89088375
ACSL1	4	184755595	184826818	184826818
ACSL3	2	222860942	222944639	222860942
ACSL4	X	109624244	109733403	109733403
ACSL5	10	112374018	112428380	112374018
ACSL6	5	131949973	132012243	132012243
ACSM1	16	20623237	20698890	20698890
ACSM2A	16	20451461	20487669	20451461
ACSM2B	16	20536226	20576427	20576427
ACSM3	16	20610243	20797581	20610243
ACSM4	12	7304284	7328724	7304284
ACSM5	16	20409534	20441336	20409534
ACSM6	10	95194200	95228928	95194200
ACSS1	20	25006230	25058980	25058980
ACSS2	20	34872146	34927962	34872146
ACSS3	12	80936414	81261210	80936414
ACTA1	1	229431245	229434098	229434098
ACTA2	10	88935074	88991339	88991339
ACTB	7	5526409	5563902	5563902
ACTBL2	5	57480018	57482811	57482811
ACTC1	15	34790230	34795549	34795549
ACTG1	17	81509971	81523847	81523847
ACTG2	2	73892314	73919865	73892314
ACTL10	20	33666498	33668525	33666498
ACTL6A	3	179562886	179588407	179562886
ACTL6B	7	100643097	100656448	100656448
ACTL7A	9	108862266	108863756	108862266
ACTL7B	9	108854588	108855986	108855986
ACTL8	1	17755333	17827063	17755333
ACTL9	19	8697400	8698795	8698795
ACTN1	14	68874128	68979440	68979440
ACTN2	1	236664141	236764631	236664141
ACTN3	11	66546395	66563334	66546395
ACTN4	19	38647649	38731589	38647649
ACTR10	14	58200080	58235636	58200080
ACTR1A	10	102461881	102502712	102502712
ACTR1B	2	97655939	97664044	97664044
ACTR2	2	65227788	65271253	65227788
ACTR3	2	113890063	113962596	113890063
ACTR3B	7	152759749	152855378	152759749
ACTR3C	7	150243916	150323725	150323725
ACTR5	20	38748460	38772520	38748460
ACTR6	12	100199122	100241865	100199122
ACTR8	3	53867066	53882152	53882152
ACTRT1	X	128050962	128052398	128052398
ACTRT2	1	3021467	3022903	3021467
ACTRT3	3	169766921	169769561	169769561
ACVR1	2	157736444	157876330	157876330
ACVR1B	12	51951699	51997078	51951699
ACVR1C	2	157526767	157628864	157628864
ACVR2A	2	147844517	147930826	147844517
ACVR2B	3	38453890	38493142	38453890
ACVRL1	12	51906908	51923361	51906908
ACY1	3	51983340	51989197	51983415
ACY3	11	67642555	67650730	67650730
ACYP1	14	75053237	75069483	75069483
ACYP2	2	53970838	54305300	53970838
ADA	20	44619522	44652233	44652233
ADA2	22	17178790	17258235	17258235
ADAD1	4	122378966	122429802	122378966
ADAD2	16	84191138	84197168	84191138
ADAL	15	43330672	43354569	43330672
ADAM10	15	58588809	58749791	58749791
ADAM11	17	44758988	44781846	44758988
ADAM12	10	126012381	126388455	126388455
ADAM15	1	155050566	155062775	155050566
ADAM17	2	9488486	9556732	9556732
ADAM18	8	39584489	39730065	39584489
ADAM19	5	157395534	157575775	157575775
ADAM2	8	39743735	39838289	39838289
ADAM20	14	70522358	70535015	70535015
ADAM21	14	70452174	70459905	70452174
ADAM22	7	87934143	88202889	87934143
ADAM23	2	206443532	206621127	206443532
ADAM28	8	24294069	24359014	24294069
ADAM29	4	174829668	174978180	174829668
ADAM30	1	119893533	119896515	119896515
ADAM32	8	39106990	39284917	39106990
ADAM33	20	3667965	3682246	3682246
ADAM7	8	24440930	24526970	24440930
ADAM8	10	133262420	133276868	133276868
ADAM9	8	38996869	39105261	38996869
ADAMDEC1	8	24384285	24406013	24384285
ADAMTS1	21	26835755	26845409	26845409
ADAMTS10	19	8580240	8610735	8610715
ADAMTS12	5	33523535	33892019	33892019
ADAMTS13	9	133414358	133459402	133414358
ADAMTS14	10	70672506	70762441	70672506
ADAMTS15	11	130448974	130476641	130448974
ADAMTS16	5	5140330	5320304	5140330
ADAMTS17	15	99971437	100342005	100342005
ADAMTS18	16	77247813	77435034	77435034
ADAMTS19	5	129460281	129738683	129460281
ADAMTS2	5	179110853	179345461	179345461
ADAMTS20	12	43353866	43552203	43552203
ADAMTS3	4	72280969	72569221	72569221
ADAMTS4	1	161184302	161199054	161199054
ADAMTS5	21	26917922	26967088	26967088
ADAMTS6	5	65148738	65481920	65481920
ADAMTS7	15	78759206	78811464	78811464
ADAMTS8	11	130404923	130428609	130428609
ADAMTS9	3	64515654	64688000	64688000
ADAMTSL1	9	17906563	18910950	17906563
ADAMTSL2	9	133532164	133575519	133532164
ADAMTSL3	15	83654088	84039842	83654088
ADAMTSL4	1	150549369	150560937	150549369
ADAMTSL5	19	1505022	1513604	1513604
ADAP1	7	897900	955407	955407
ADAP2	17	30906344	30959322	30906344
ADAR	1	154582057	154628013	154628013
ADARB1	21	45073853	45226560	45073853
ADARB2	10	1177313	1737525	1737525
ADAT1	16	75596981	75623300	75623300
ADAT2	6	143422832	143450695	143450695
ADAT3	19	1905399	1913447	1905399
ADCK1	14	77800109	77935014	77800109
ADCK2	7	140672945	140696261	140672945
ADCK5	8	144373101	144393242	144373101
ADCY1	7	45574140	45723116	45574140
ADCY10	1	167809386	167914215	167914215
ADCY2	5	7396138	7830081	7396138
ADCY3	2	24819169	24919839	24919839
ADCY4	14	24318349	24335093	24335071
ADCY5	3	123282296	123449090	123449090
ADCY6	12	48766194	48789037	48789037
ADCY7	16	50246137	50318135	50246137
ADCY8	8	130780301	131040909	131040909
ADCY9	16	3953387	4116442	4116442
ADCYAP1	18	904871	912172	904871
ADCYAP1R1	7	31052308	31111479	31052308
ADD1	4	2843857	2930076	2843857
ADD2	2	70607618	70768225	70768225
ADD3	10	109996368	110135565	109996368
ADGB	6	146598967	146815462	146598967
ADGRA1	10	133070929	133131675	133070929
ADGRA2	8	37784191	37844896	37784191
ADGRA3	4	22345071	22516066	22516066
ADGRB1	8	142449430	142545009	142449430
ADGRB2	1	31727117	31764893	31764893
ADGRB3	6	68635282	69389506	68635282
ADGRD1	12	130953907	131141469	130953907
ADGRD2	9	124451425	124478589	124451425
ADGRE1	19	6887566	6940459	6887566
ADGRE2	19	14732392	14778560	14778560
ADGRE3	19	14619117	14690027	14690027
ADGRE5	19	14380501	14408725	14380501
ADGRF1	6	46997708	47042350	47042332
ADGRF2	6	47656436	47697797	47656436
ADGRF3	2	26308173	26346817	26346817
ADGRF4	6	47685864	47722021	47685864
ADGRF5	6	46852522	46954943	46954943
ADGRG1	16	57610652	57665580	57610652
ADGRG2	X	18989307	19122637	19122637
ADGRG3	16	57668277	57689378	57668277
ADGRG4	X	136300963	136416890	136300963
ADGRG5	16	57542643	57591681	57542643
ADGRG6	6	142301854	142446266	142301854
ADGRG7	3	100609601	100695479	100609601
ADGRL1	19	14147743	14206187	14206187
ADGRL2	1	81306147	81992436	81306147
ADGRL3	4	61201258	62078335	61201258
ADGRL4	1	78889764	79282124	79282124
ADGRV1	5	90529344	91164437	90529344
ADH1A	4	99276369	99291003	99290985
ADH1B	4	99304971	99352760	99352760
ADH1C	4	99336497	99352746	99352746
ADH4	4	99123657	99157792	99157792
ADH5	4	99070978	99088801	99088801
ADH6	4	99202638	99219537	99219537
ADH7	4	99412261	99435737	99435737
ADHFE1	8	66432492	66468907	66432492
ADI1	2	3497366	3519531	3519531
ADIG	20	38581195	38588463	38581195
ADIPOQ	3	186842704	186858463	186842704
ADIPOR1	1	202940826	202958572	202958572
ADIPOR2	12	1688574	1788674	1688574
ADIRF	10	86968432	86983934	86968432
ADK	10	74151202	74709963	74151202
ADM	11	10305073	10307397	10305073
ADM2	22	50481543	50486440	50481543
ADM5	19	49688664	49690575	49688664
ADNP	20	50888916	50931437	50931437
ADNP2	18	80109262	80147523	80109262
ADO	10	62804720	62808479	62804720
ADORA1	1	203090654	203167405	203090654
ADORA2A	22	24417879	24442357	24417879
ADORA2B	17	15944917	15975746	15944917
ADORA3	1	111499429	111503633	111503633
ADPGK	15	72751369	72785846	72785846
ADPRH	3	119579268	119589945	119579268
ADPRHL1	13	113399610	113453524	113453524
ADPRM	17	10697594	10711558	10697594
ADPRS	1	36088892	36093932	36088892
ADRA1A	8	26748150	26867278	26867278
ADRA1B	5	159865080	159973012	159865080
ADRA1D	20	4220630	4249287	4249287
ADRA2A	10	111077029	111080907	111077029
ADRA2B	2	96112876	96116571	96116571
ADRA2C	4	3766348	3768526	3766348
ADRB1	10	114043866	114046904	114043866
ADRB2	5	148825245	148828687	148825245
ADRB3	8	37962990	37966599	37966599
ADRM1	20	62302093	62308862	62302093
ADSL	22	40346500	40390463	40346500
ADSS1	14	104724229	104747325	104724229
ADSS2	1	244408494	244451909	244451909
ADTRP	6	11712054	11807046	11807046
AEBP1	7	44104345	44114562	44104345
AEBP2	12	19404045	19720801	19404045
AEN	15	88621337	88632281	88621340
AFAP1	4	7758714	7939926	7939926
AFAP1L1	5	149271859	149343637	149271859
AFAP1L2	10	114294824	114404756	114404756
AFDN	6	167826922	167972023	167826922
AFF1	4	86935002	87141054	86935002
AFF2	X	148500617	149000663	148500617
AFF3	2	99545419	100192428	100192428
AFF4	5	132875395	132963634	132963634
AFG1L	6	108294991	108526796	108294991
AFG3L2	18	12328944	12377227	12377227
AFM	4	73481745	73504001	73481745
AFMID	17	78187317	78207701	78187317
AFP	4	73431138	73456174	73431138
AFTPH	2	64524305	64593005	64524305
AGA	4	177430774	177442437	177442437
AGAP1	2	235494043	236131800	235494043
AGAP2	12	57723761	57742157	57742157
AGAP3	7	151085831	151144436	151085831
AGAP4	10	45825594	45853875	45853875
AGAP5	10	73674285	73698159	73698159
AGAP6	10	49982190	50010499	49982190
AGAP9	10	47501854	47523638	47523638
AGBL1	15	86079973	87029052	86079973
AGBL2	11	47659591	47715389	47715389
AGBL3	7	134986508	135147963	134986508
AGBL4	1	48532854	50023954	50023954
AGBL5	2	27042364	27070622	27042364
AGER	6	32180968	32184322	32184322
AGFG1	2	227472152	227561214	227472152
AGFG2	7	100539203	100568220	100539203
AGGF1	5	77029251	77065234	77029251
AGK	7	141551278	141655244	141551278
AGL	1	99850361	99924023	99850361
AGMAT	1	15571699	15585051	15585051
AGMO	7	15200317	15562015	15562015
AGO1	1	35869808	35930532	35869808
AGO2	8	140520156	140635633	140635633
AGO3	1	35930718	36072500	35930718
AGO4	1	35808016	35857890	35808016
AGPAT1	6	32168212	32178096	32178096
AGPAT2	9	136673143	136687457	136687457
AGPAT3	21	43865223	43987592	43865223
AGPAT4	6	161129967	161274061	161274061
AGPAT5	8	6708642	6761503	6708642
AGPS	2	177392757	177559299	177392757
AGR2	7	16791811	16833433	16833433
AGR3	7	16859412	16881987	16881987
AGRN	1	1020120	1056118	1020120
AGRP	16	67482571	67483547	67483547
AGT	1	230702523	230714122	230714122
AGTPBP1	9	85546539	85742029	85742029
AGTR1	3	148697784	148743008	148697784
AGTR2	X	116170744	116174974	116170744
AGTRAP	1	11736084	11754802	11736084
AGXT	2	240868824	240880502	240868824
AGXT2	5	34998101	35048135	35048135
AHCTF1	1	246839098	246931948	246931948
AHCY	20	34280268	34311802	34311802
AHCYL1	1	109984765	110023742	109984765
AHCYL2	7	129225023	129430211	129225023
AHDC1	1	27534035	27604431	27604431
AHI1	6	135283532	135497765	135497765
AHNAK	11	62433542	62556235	62556235
AHNAK2	14	104937244	104978374	104978374
AHR	7	16916359	17346152	16916359
AHRR	5	321759	435110	321759
AHSA1	14	77457870	77469472	77457870
AHSG	3	186613060	186621318	186613060
AHSP	16	31527900	31528803	31527900
AICDA	12	8602170	8612867	8612867
AIDA	1	222668013	222713210	222713210
AIF1	6	31615217	31617021	31615227
AIF1L	9	131096476	131123152	131096476
AIFM1	X	130124666	130165879	130165879
AIFM2	10	70098223	70132934	70132934
AIFM3	22	20965108	20981360	20965108
AIG1	6	143060496	143341058	143060496
AIM2	1	159062484	159147096	159147096
AIMP1	4	106315544	106349456	106315544
AIMP2	7	6009255	6023834	6009255
AIP	11	67483026	67491103	67483026
AIPL1	17	6393693	6435199	6435199
AIRE	21	44285838	44298648	44285876
AJAP1	1	4654609	4792534	4654609
AJM1	9	136844415	136848801	136844415
AJUBA	14	22971177	22982551	22982551
AK1	9	127866486	127877675	127877675
AK2	1	33007940	33080996	33080996
AK3	9	4709556	4742043	4742043
AK4	1	65147549	65232145	65147549
AK5	1	77282019	77559966	77282019
AK6	5	69350984	69370013	69370013
AK7	14	96392128	96489427	96392128
AK8	9	132725578	132878777	132878777
AK9	6	109492856	109691217	109691217
AKAIN1	18	5142911	5197503	5197503
AKAP1	17	57085092	57121346	57085092
AKAP10	17	19904302	19978343	19978343
AKAP11	13	42272152	42323261	42272152
AKAP12	6	151239967	151358559	151239967
AKAP13	15	85380571	85749358	85380571
AKAP14	X	119895837	119920716	119895837
AKAP17A	X	1591604	1602520	1591604
AKAP3	12	4615508	4649051	4649051
AKAP4	X	50190777	50201007	50201007
AKAP5	14	64465499	64474503	64465499
AKAP6	14	32329298	32837684	32329298
AKAP7	6	131135467	131283535	131135467
AKAP8	19	15353385	15379798	15379798
AKAP8L	19	15380050	15419141	15419141
AKAP9	7	91940862	92110673	91940862
AKIP1	11	8911139	8920084	8911139
AKIRIN1	1	38991276	39006059	38991276
AKIRIN2	6	87674860	87702233	87702233
AKNA	9	114334156	114394405	114394405
AKNAD1	1	108815898	108963484	108963484
AKR1A1	1	45550543	45570049	45550543
AKR1B1	7	134442356	134459284	134459252
AKR1B10	7	134527567	134541412	134527567
AKR1B15	7	134549110	134579875	134549110
AKR1C1	10	4963253	4983283	4963253
AKR1C2	10	4987400	5018031	5018031
AKR1C3	10	5035354	5107686	5035354
AKR1C4	10	5195462	5218949	5195463
AKR1C8P	10	5154140	5185187	5185181
AKR1D1	7	138002324	138118305	138002324
AKR1E2	10	4786629	4848062	4786629
AKR7A2	1	19303965	19312146	19312146
AKR7A3	1	19282573	19288770	19288770
AKT1	14	104769349	104795751	104795751
AKT1S1	19	49869033	49878459	49878459
AKT2	19	40230317	40285536	40285536
AKT3	1	243488233	243851079	243851079
AKTIP	16	53491040	53504411	53504411
ALAD	9	113386312	113401290	113401290
ALAS1	3	52198086	52214327	52198086
ALAS2	X	55009055	55030977	55030977
ALB	4	73397114	73421482	73397114
ALCAM	3	105366909	105576900	105366909
ALDH16A1	19	49453225	49471050	49453225
ALDH18A1	10	95605941	95656711	95656711
ALDH1A1	9	72900671	73080442	73080442
ALDH1A2	15	57953424	58497866	58497866
ALDH1A3	15	100877714	100916626	100877714
ALDH1B1	9	38392702	38398661	38392702
ALDH1L1	3	126103562	126197994	126197994
ALDH1L2	12	105019784	105107643	105107643
ALDH2	12	111766887	111817532	111766887
ALDH3A1	17	19737984	19748943	19748943
ALDH3A2	17	19648136	19685760	19648136
ALDH3B1	11	68008578	68029282	68008578
ALDH3B2	11	67662160	67681224	67681224
ALDH4A1	1	18871430	18902724	18902724
ALDH5A1	6	24494867	24537207	24494867
ALDH6A1	14	74056847	74084492	74084453
ALDH7A1	5	126531200	126595362	126595362
ALDH8A1	6	134917393	134950115	134950115
ALDH9A1	1	165662216	165698863	165698863
ALDOA	16	30064164	30070457	30064172
ALDOB	9	101420560	101449664	101449664
ALDOC	17	28573115	28576948	28576948
ALG1	16	5033923	5087379	5033923
ALG10	12	34022468	34029694	34022468
ALG10B	12	38316762	38329721	38316762
ALG11	13	52012398	52033600	52012398
ALG12	22	49900229	49918438	49918438
ALG13	X	111665811	111760649	111665811
ALG14	1	94974405	95072951	95072951
ALG1L	3	125929275	125937039	125937039
ALG1L2	3	130081831	130113227	130081831
ALG2	9	99216425	99221942	99221942
ALG3	3	184242301	184249548	184249548
ALG5	13	36949738	37000261	37000261
ALG6	1	63367575	63438553	63367575
ALG8	11	78100936	78139653	78139653
ALG9	11	111782195	111871581	111871581
ALK	2	29192774	29921586	29921586
ALKAL1	8	52534037	52565430	52565430
ALKAL2	2	279558	288851	288851
ALKBH1	14	77672404	77708023	77708023
ALKBH2	12	109088188	109093631	109093488
ALKBH3	11	43880811	43920274	43880811
ALKBH4	7	102456238	102464863	102464863
ALKBH5	17	18183078	18209954	18183078
ALKBH6	19	36009120	36014239	36014239
ALKBH7	19	6372794	6375250	6372794
ALKBH8	11	107502727	107565742	107565742
ALLC	2	3658200	3702671	3658200
ALMS1	2	73385758	73625166	73385758
ALOX12	17	6996049	7010754	6996049
ALOX12B	17	8072636	8087716	8087716
ALOX15	17	4630919	4642294	4642294
ALOX15B	17	8039034	8049134	8039034
ALOX5	10	45374176	45446119	45374176
ALOX5AP	13	30713478	30764426	30713478
ALOXE3	17	8095900	8119047	8119047
ALPG	2	232406844	232410714	232406844
ALPI	2	232456125	232460753	232456125
ALPK1	4	112285509	112442621	112285509
ALPK2	18	58481247	58629091	58629091
ALPK3	15	84817356	84873479	84817356
ALPL	1	21509397	21578410	21509397
ALPP	2	232378724	232382889	232378751
ALS2	2	201700267	201780956	201780956
ALS2CL	3	46668995	46693704	46693704
ALX1	12	85280220	85301784	85280220
ALX3	1	110059870	110070672	110070672
ALX4	11	44260440	44310139	44310139
ALYREF	17	81887835	81891586	81891586
AMACR	5	33986165	34008104	34008104
AMBN	4	70592256	70607288	70592256
AMBP	9	114060127	114078328	114078328
AMBRA1	11	46396414	46594125	46594125
AMD1	6	110874770	110898879	110874770
AMDHD1	12	95943331	95968720	95943331
AMDHD2	16	2520357	2531422	2520357
AMELX	X	11293413	11300761	11293413
AMELY	Y	6865918	6911774	6911774
AMER1	X	64185117	64205708	64205708
AMER2	13	25161684	25172288	25172288
AMER3	2	130755540	130768134	130755540
AMFR	16	56361452	56425545	56425545
AMH	19	2249309	2252073	2249309
AMHR2	12	53423855	53431672	53423855
AMIGO1	1	109504178	109509738	109509738
AMIGO2	12	47075707	47079951	47079951
AMIGO3	3	49716829	49719684	49719684
AMMECR1	X	110194186	110440233	110440233
AMMECR1L	2	127861630	127885956	127885956
AMN	14	102922663	102933596	102922663
AMN1	12	31671142	31729121	31729121
AMOT	X	112774503	112840815	112840815
AMOTL1	11	94706431	94876748	94706431
AMOTL2	3	134355874	134375479	134375479
AMPD1	1	114673090	114695618	114695618
AMPD2	1	109616104	109632053	109616104
AMPD3	11	10308313	10507579	10308313
AMPH	7	38383704	38631420	38631420
AMT	3	49416778	49422685	49422685
AMTN	4	70518569	70532743	70518569
AMY1A	1	103655290	103664554	103655290
AMY1B	1	103687415	103696680	103696680
AMY1C	1	103750406	103758690	103750406
AMY2A	1	103616811	103625780	103616811
AMY2B	1	103553815	103579534	103553815
AMZ1	7	2679522	2775500	2679522
AMZ2	17	68206076	68257712	68206076
ANAPC1	2	111611639	111884690	111884690
ANAPC10	4	144831908	145098541	145098541
ANAPC11	17	81890790	81900991	81890790
ANAPC13	3	134477706	134486716	134486716
ANAPC15	11	72106378	72112780	72112780
ANAPC16	10	72216000	72235860	72216000
ANAPC2	9	137174784	137188560	137188560
ANAPC4	4	25377263	25418498	25377263
ANAPC5	12	121308245	121399896	121399896
ANAPC7	12	110372900	110403730	110403730
ANG	14	20684177	20698971	20684177
ANGEL1	14	76786009	76826246	76826246
ANGEL2	1	212992182	213015867	213015867
ANGPT1	8	107249482	107498055	107498055
ANGPT2	8	6499632	6563409	6563409
ANGPT4	20	869900	916334	916334
ANGPTL1	1	178849535	178871077	178871077
ANGPTL2	9	127087348	127122635	127122635
ANGPTL3	1	62597520	62606313	62597520
ANGPTL4	19	8363289	8374370	8363289
ANGPTL5	11	101890674	101916522	101916522
ANGPTL6	19	10092338	10102796	10102796
ANGPTL7	1	11189355	11195981	11189355
ANGPTL8	19	11237450	11241943	11237450
ANHX	12	133218312	133235877	133235877
ANK1	8	41653220	41896762	41896762
ANK2	4	112818032	113384221	112818032
ANK3	10	60026298	60733490	60733490
ANKAR	2	189674290	189761193	189674290
ANKDD1A	15	64911902	64958691	64911902
ANKDD1B	5	75611182	75681773	75611182
ANKEF1	20	9986126	10058303	9986126
ANKFN1	17	55882301	56511659	55882301
ANKFY1	17	4163821	4263995	4263995
ANKH	5	14704800	14871778	14871778
ANKHD1	5	140401814	140539856	140401814
ANKHD1-EIF4EBP3	5	140401908	140549569	140401908
ANKIB1	7	92245974	92401383	92245974
ANKK1	11	113387779	113400416	113387779
ANKLE1	19	17281645	17287646	17281645
ANKLE2	12	132725503	132761832	132761832
ANKMY1	2	240479422	240569209	240569209
ANKMY2	7	16599779	16645817	16645817
ANKRA2	5	73552190	73565667	73565639
ANKRD1	10	90912096	90921087	90921087
ANKRD10	13	110878540	110915069	110915069
ANKRD11	16	89267630	89490561	89490561
ANKRD12	18	9136228	9285985	9136228
ANKRD13A	12	109999186	110039763	109999186
